/usr/lib/arm-linux-gnueabihf/libxcb.so.1.1.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x0472dee9cc91ab3e52376bac422334d2c1e601b9, stripped
/lib/arm-linux-gnueabihf/libdl-2.13.so: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked (uses shared libs), BuildID[sha1]=0x06c9e6756e950f3239e0aa2863e2a118fa0f3987, for GNU/Linux 2.6.26, stripped
/usr/lib/arm-linux-gnueabihf/libpixman-1.so.0.29.3: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x94fcfe6c76043827ea79c6c8fa481d5446f59bf2, not stripped
/usr/lib/arm-linux-gnueabihf/libxcb-shm.so.0.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xa83fc7c9185574d5aaa10003afed6e6128b6f543, stripped
/usr/lib/arm-linux-gnueabihf/libxcb-render.so.0.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xdbaca655c1e4a9fbd36745ad6d3e11542ee72241, stripped
/lib/arm-linux-gnueabihf/libselinux.so.1: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x0b0a28601f8135ea20cf6a4ebdad46ea12ec65f7, stripped
/lib/arm-linux-gnueabihf/libresolv-2.13.so: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked (uses shared libs), BuildID[sha1]=0x5b1abcfe8ec1d7a47608210f108aff7f2b653819, for GNU/Linux 2.6.26, stripped
/lib/arm-linux-gnueabihf/libexpat.so.1.6.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x83b6d4842f03d1d14d80cfe2f81c299787768c0c, stripped
/usr/lib/arm-linux-gnueabihf/libogg.so.0.8.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x6c1a12e2fcf0c5ec74f4f251b3161537b81be44e, stripped
/usr/lib/arm-linux-gnueabihf/liborc-0.4.so.0.16.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xda7865437b9d39034e4185a50ea504412e73ce76, stripped
/lib/arm-linux-gnueabihf/libgcrypt.so.11.7.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xaa7d214996d1d974db3f907df91634c9d49cc800, stripped
/usr/lib/arm-linux-gnueabihf/libtasn1.so.3.1.16: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x2821f5321cc5f8a18f3bfb2baa1fed670ae7d9ad, stripped
/usr/lib/arm-linux-gnueabihf/libp11-kit.so.0.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x572ab0b83795ff9c9e3d2d70d179f7435a3e5c4b, stripped
/usr/lib/arm-linux-gnueabihf/libv4lconvert.so.0.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xbfd0702714cc4abf37faff04a293e4add948d8c4, stripped
/usr/lib/arm-linux-gnueabihf/libXau.so.6.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x0b3c0a6a00230145dce86717b1ff72555c5ad67e, stripped
/usr/lib/arm-linux-gnueabihf/libXdmcp.so.6.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xe82dcda7e32fdbc9eb421049e145ee91bc73ac48, stripped
/lib/arm-linux-gnueabihf/libgpg-error.so.0.8.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xd2491383d595d1b717485f84aca127b8352cf7a4, stripped
